time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1716606330.01000047,0.01462073,2927,0.00283206,0.00000000,0,0.00000197,838,1301,587,0.00000000
1716606330.10992742,0.01176687,2928,0.00233474,0.00000000,0,0.00000135,1301,1428,426,0.00135467
1716606330.20986199,0.00959387,2945,0.00136804,0.00000000,0,0.00000096,1428,1704,364,0.00058175
1716606330.31012988,0.01136468,2907,0.00174799,0.00000000,0,0.00000096,1704,1885,301,0.00148203
1716606330.41004825,0.01192271,2935,0.00246493,0.00000000,0,0.00000143,1885,1939,283,0.00054710
1716606330.50993848,0.01126867,2935,0.00134388,0.00000000,0,0.00000090,1939,2143,265,0.00059488
1716606330.60997033,0.01098911,2961,0.00167539,0.00000000,0,0.00000106,2143,2219,232,0.00047984
1716606330.71015453,0.01066628,2957,0.00107384,0.00000000,0,0.00000089,2219,2328,180,0.00047288
1716606330.81009555,0.01257985,2957,0.00152168,0.00000000,0,0.00000108,2328,2429,198,0.00047360
1716606330.91011405,0.01079144,2976,0.00110700,0.00000000,0,0.00000077,2429,2532,140,0.00046797
1716606331.01032162,0.01095016,2988,0.00104423,0.00000000,0,0.00000076,2532,2634,160,0.00046053
1716606331.11030316,0.01050169,2957,0.00061642,0.00000000,0,0.00000080,2190,2329,140,0.00044944
1716606331.21041608,0.00975970,2976,0.00065435,0.00000000,0,0.00000087,2329,2402,94,0.00046058
1716606331.31041527,0.00901358,2978,0.00048100,0.00000000,0,0.00000089,2402,2525,141,0.00054130
1716606331.41051793,0.01225173,2998,0.00076986,0.00000000,0,0.00000116,2525,2616,120,0.00030141
1716606331.51050997,0.01145633,2995,0.00082699,0.00000000,0,0.00000095,2616,2724,165,0.00050768
1716606331.61060166,0.01175382,3036,0.00091158,0.00000000,0,0.00000103,2724,2811,157,0.00049701
1716606331.71061349,0.01142108,3055,0.00101389,0.00000000,0,0.00000085,2811,2926,162,0.00030602
1716606331.81070185,0.01214497,3023,0.00118755,0.00000000,0,0.00000111,2926,2971,134,0.00045323
1716606331.91058612,0.01341527,3031,0.00063751,0.00000000,0,0.00000097,2971,3048,130,0.00052036
1716606332.01083207,0.01197112,3043,0.00087440,0.00000000,0,0.00000076,3048,3123,124,0.00044140
1716606332.11074615,0.01172679,3041,0.00118911,0.00000000,0,0.00000097,3123,3143,132,0.00044743
1716606332.21092701,0.01243474,3053,0.00122855,0.00000000,0,0.00000111,3143,3169,147,0.00045651
1716606332.31089926,0.01221015,3068,0.00078508,0.00000000,0,0.00000097,3169,3200,119,0.00044512
1716606332.41089892,0.01174875,3070,0.00108476,0.00000000,0,0.00000112,3200,3215,127,0.00045496
1716606332.51087952,0.01153588,3064,0.00090081,0.00000000,0,0.00000114,3215,3228,99,0.00045204
1716606332.61073923,0.01112277,3072,0.00063561,0.00000000,0,0.00000092,3228,3304,135,0.00049024
1716606332.71092272,0.01242881,3102,0.00105117,0.00000000,0,0.00000094,3304,3387,134,0.00050549
1716606332.81091762,0.01173317,3068,0.00082171,0.00000000,0,0.00000142,3387,3427,110,0.00046498
1716606332.90991712,0.01243723,3110,0.00093520,0.00000000,0,0.00000078,3427,3451,118,0.00044596
1716606333.01014304,0.01254579,3080,0.00091192,0.00000000,0,0.00000090,3451,3474,112,0.00046721
1716606333.10995746,0.01003728,3051,0.00088350,0.00000000,0,0.00000108,3474,3522,106,0.00044873
1716606333.21003652,0.01192510,3093,0.00073694,0.00000000,0,0.00000089,3522,3569,91,0.00041284
1716606333.30993819,0.01271080,3053,0.00082831,0.00000000,0,0.00000101,3569,3612,106,0.00047922
1716606333.41013432,0.01113834,3089,0.00106684,0.00000000,0,0.00000090,3612,3579,108,0.00044533
1716606333.50992560,0.01239201,3081,0.00058214,0.00000000,0,0.00000079,3579,3657,94,0.00022226
1716606333.61012936,0.01208053,3075,0.00092888,0.00000000,0,0.00000108,3657,3670,129,0.00048027
1716606333.71007037,0.01248474,3079,0.00069990,0.00000000,0,0.00000097,3670,3754,103,0.00047123
1716606333.81006122,0.01311773,3042,0.00098493,0.00000000,0,0.00000106,3754,3778,103,0.00044078
1716606333.90991640,0.01246811,3105,0.00074288,0.00000000,0,0.00000093,3778,3836,103,0.00066453
1716606334.00998020,0.01258441,3073,0.00055148,0.00000000,0,0.00000090,3836,3877,87,0.00044570
1716606334.10995936,0.01178857,3055,0.00059936,0.00000000,0,0.00000084,3877,3918,108,0.00045216
1716606334.21002507,0.01413718,3079,0.00136396,0.00000000,0,0.00000102,3918,3872,95,0.00044236
1716606334.31001878,0.01326573,3077,0.00067579,0.00000000,0,0.00000141,3872,3875,90,0.00041851
1716606334.41015029,0.01333050,3048,0.00093324,0.00000000,0,0.00000095,3875,3879,94,0.00044236
1716606334.51009154,0.01358092,3061,0.00059066,0.00000000,0,0.00000132,3879,3938,100,0.00044019
1716606334.61019516,0.01394376,3078,0.00083532,0.00000000,0,0.00000095,3938,3966,101,0.00066625
1716606334.71019363,0.01342727,3088,0.00087888,0.00000000,0,0.00000100,3966,3984,87,0.00041021
1716606334.81031227,0.01215032,3122,0.00053154,0.00000000,0,0.00000167,3984,4041,86,0.00048326
1716606334.91033125,0.01517899,3070,0.00172334,0.00000000,0,0.00000116,4041,3942,92,0.00046941
1716606335.01036763,0.01441015,3073,0.00061616,0.00000000,0,0.00000111,3942,3975,80,0.00066543
1716606335.11033821,0.01284506,3079,0.00077482,0.00000000,0,0.00000116,3975,4023,90,0.00059752
1716606335.21051764,0.01074484,3092,0.00053959,0.00000000,0,0.00000084,4023,4018,102,0.00051973
1716606335.31049228,0.01330561,3111,0.00022527,0.00000000,0,0.00000116,4018,4056,72,0.00066327
1716606335.41058302,0.00995907,3103,0.00034546,0.00000000,0,0.00000081,4056,4094,77,0.00041042
1716606335.51068115,0.01278113,3049,0.00075229,0.00000000,0,0.00000134,4094,4147,83,0.00066244
1716606335.61063528,0.01252986,3074,0.00045522,0.00000000,0,0.00000100,4147,4214,98,0.00034786
1716606335.71061611,0.01243580,3107,0.00063620,0.00000000,0,0.00000114,4214,4270,114,0.00044351
1716606335.81092000,0.01386827,3084,0.00069833,0.00000000,0,0.00000120,4270,4288,64,0.00044857
1716606335.91080642,0.01237702,3055,0.00058029,0.00000000,0,0.00000083,4288,4328,72,0.00050208
1716606336.01078892,0.01289356,3072,0.00064298,0.00000000,0,0.00000107,4328,4373,84,0.00041281
1716606336.11078024,0.01421578,3143,0.00140567,0.00000000,0,0.00000105,4373,4448,101,0.00045009
1716606336.21097493,0.01209505,3063,0.00041278,0.00000000,0,0.00000130,3804,3877,89,0.00045733
1716606336.31091499,0.01358598,3091,0.00045879,0.00000000,0,0.00000113,3877,3963,87,0.00044792
1716606336.41093802,0.01278329,3086,0.00055620,0.00000000,0,0.00000093,3963,4036,88,0.00046265
1716606336.51087642,0.01229892,3096,0.00056737,0.00000000,0,0.00000100,4036,4102,82,0.00045820
1716606336.60997272,0.01228864,3047,0.00038924,0.00000000,0,0.00000093,4102,4169,80,0.00047924
